,filename,bitwuzla,leanSAT,leanSAT-rw,leanSAT-bb,leanSAT-sat,leanSAT-lrat-t,leanSAT-lrat-c
182,gdivhshift_proof.lean,387.038888,3886.512844,67.20587,48.13539,2512.64929,315.289618,747.576107
6601,gadd4_proof.lean,113.28682,1741.940012,41.086699,264.966459,370.589439,50.269839,737.421727
2274,gsdivhcanonicalize_proof.lean,1157.105175,4842.39229,172.057459,136.36284,3163.164007,399.888778,729.981837
171,gdivhshift_proof.lean,680.357809,8952.730781,108.20325,97.744009,6987.050109,770.781696,716.596207
2530,gandhxorhor_proof.lean,322.616128,1523.075704,99.52803,155.409429,213.335239,10.56282,713.090677
5171,gshlhfactor_proof.lean,1670.879993,3581.939846,53.41288,38.281139,2116.433861,472.894618,706.522448
6607,gadd4_proof.lean,687.326787,3845.535415,16.84745,22.99937,2322.62522,727.412127,703.930768
2065,glshr_proof.lean,435.338749,2899.808838,73.128349,15.41201,1412.928345,662.772897,691.893237
2518,gandhxorhor_proof.lean,272.144879,1527.971324,96.623859,154.40071,263.861048,10.62693,686.764368
6706,gshifthshift_proof.lean,597.054718,3862.156354,48.130759,19.71408,2261.533951,796.455807,680.348627
2276,gsdivhcanonicalize_proof.lean,407.206338,1657.566823,253.043159,232.566599,259.152199,15.69325,633.332677
213,gdivhshift_proof.lean,1153.658005,2759.893778,80.383129,45.89103,1613.437384,202.984019,628.743897
2062,glshr_proof.lean,427.747268,2480.41601,65.83176,13.5454,1161.172725,583.946368,617.906167
688,gexact_proof.lean,349.148318,3002.191298,38.2341,20.61397,1610.689383,667.383068,606.553497
4086,gshifthlogic_proof.lean,103.316069,1378.763524,44.26122,254.635499,209.108629,44.72067,604.361917
5635,gapinthdiv1_proof.lean,76.762659,3146.612397,15.37722,30.87911,1762.347432,577.595698,600.902988
1366,gudivremhchangehwidth_proof.lean,385.200919,2537.978979,23.78097,8.72853,1362.099364,531.464658,574.501177
5633,gapinthdiv1_proof.lean,72.99656,2624.757549,15.2456,30.72736,1459.544025,426.947498,558.949797
2055,glshr_proof.lean,413.654368,2643.658979,104.95935,16.009319,1411.017625,512.295418,558.282207
655,gashrhdemand_proof.lean,118.59574,3271.489389,49.81765,37.269459,1964.782963,569.790418,554.307788
5942,grem_proof.lean,120.59565,4450.967532,50.002699,45.99207,3164.851507,457.422858,552.433518
239,goverflowhmul_proof.lean,96.032479,1162.210086,29.36873,71.25862,157.9993,74.45067,549.408178
4083,gshifthlogic_proof.lean,109.16972,1247.250815,49.00363,120.75138,257.892539,49.92321,534.501607
686,gexact_proof.lean,387.241508,2727.851489,65.943709,52.00536,1510.373984,450.689318,531.758168
5544,gadd2_proof.lean,467.689438,1589.710774,98.69689,160.492989,516.990858,123.277159,530.179098
2059,glshr_proof.lean,464.984618,2232.536261,104.89221,15.940039,1061.344296,483.672238,524.882858
5639,gapinthrem1_proof.lean,72.623689,2198.200821,12.26424,29.27357,1161.082255,340.522348,522.495508
1348,gudivremhchangehwidth_proof.lean,242.953759,3296.30161,31.135769,11.70895,1968.623584,732.713209,518.552288
2275,gsdivhcanonicalize_proof.lean,304.406429,1305.064835,210.212439,173.130309,158.029229,34.78975,510.111428
4256,gmodulo_proof.lean,327.690718,4245.521129,139.399709,108.87806,2623.722834,640.064919,507.707379
5935,grem_proof.lean,402.995108,3016.890458,46.01469,13.67095,1860.651342,551.028578,500.256638
1358,gudivremhchangehwidth_proof.lean,333.437689,2129.799421,23.57658,8.54659,1060.348146,513.075577,486.823028
1364,gudivremhchangehwidth_proof.lean,144.263969,1448.000894,82.6061,76.147389,510.626588,100.669309,479.357228
5016,g2012h08h28hudiv_ashl_proof.lean,104.505439,2602.23214,41.94223,28.36391,1560.856823,404.211889,471.842228
6347,gmul_fold_proof.lean,306.946809,1646.320794,25.7819,0.0,658.739677,488.571928,467.142689
685,gexact_proof.lean,155.29916,3949.564068,80.72373,51.90335,2685.421153,539.295228,466.201558
5014,g2012h08h28hudiv_ashl_proof.lean,84.32673,5713.024943,27.41572,26.02047,4409.170308,692.871577,453.032539
1356,gudivremhchangehwidth_proof.lean,142.54066,1256.678755,83.69194,76.93273,408.625978,54.82262,432.746918
2517,gandhxorhor_proof.lean,194.156949,1002.053446,73.0457,93.102479,212.61352,7.10606,427.999608
2514,gandhxorhor_proof.lean,193.335629,1001.352596,72.556169,95.02543,212.514719,7.8299,421.303009
2529,gandhxorhor_proof.lean,243.74914,934.154348,72.962889,94.12104,162.51456,7.05289,418.42082
210,gdivhshift_proof.lean,608.017378,2229.300051,126.22181,9.04581,1262.520565,376.416098,417.152218
2526,gandhxorhor_proof.lean,244.475779,934.392096,73.42942,92.647469,162.921709,6.85697,416.973858
6346,gmul_fold_proof.lean,345.250958,1355.338625,25.84562,1.56533,506.892298,400.624419,415.754729
994,gapinthshifthsimplify_proof.lean,174.670049,1473.199884,25.83061,12.19229,658.839317,316.352519,410.992628
5162,gshlhfactor_proof.lean,206.025729,2459.306694,52.39722,69.96219,1568.615136,153.254449,409.59283
2273,gsdivhcanonicalize_proof.lean,428.091938,6650.374459,232.595629,133.5071,5004.661145,373.247179,400.069678
1363,gudivremhchangehwidth_proof.lean,177.039589,1222.758675,65.404259,60.12448,460.047838,113.176869,394.931209
693,gexact_proof.lean,97.297989,896.025707,30.10879,78.92659,159.494569,63.39397,393.062599
1360,gudivremhchangehwidth_proof.lean,335.263608,2008.781622,23.8444,8.30552,1110.868525,370.174839,381.745778
6398,gapinthsub_proof.lean,166.65727,1440.269804,52.792929,74.65118,708.485898,59.457059,379.246429
992,gapinthshifthsimplify_proof.lean,233.593629,2303.552244,19.57503,13.24386,1385.206646,405.981398,378.52712
692,gexact_proof.lean,98.784979,885.913257,32.25763,83.65964,159.68613,69.776899,377.047329
3462,gdemorgan_proof.lean,742.434757,2405.15241,272.794289,47.07384,1309.219145,307.963029,375.085758
4281,gshlhdemand_proof.lean,104.25351,1750.691663,41.99845,34.823949,909.010246,283.116319,374.749929
1352,gudivremhchangehwidth_proof.lean,283.247689,1757.235103,24.49535,8.17697,908.793837,405.803048,371.833479
4257,gmodulo_proof.lean,150.80013,1682.235744,81.95265,40.71979,808.627787,302.699158,367.405929
2484,gandhxorhor_proof.lean,218.519369,1193.365147,45.21885,83.185279,462.311268,24.13471,366.359631
6609,gadd4_proof.lean,255.957329,1868.651603,36.98395,41.29237,1071.426075,303.402739,364.147149
6604,gadd4_proof.lean,258.088659,1864.993842,37.27046,41.39429,1070.894726,298.707128,362.359239
5543,gadd2_proof.lean,212.855009,961.635376,89.867649,138.58474,218.573029,32.89211,362.187989
5939,grem_proof.lean,74.14745,855.043556,13.76568,34.52126,209.773589,98.76695,361.599568
5638,gapinthrem1_proof.lean,72.05284,1881.591812,12.6496,30.84316,1110.389446,231.127329,354.904608
6611,gadd4_proof.lean,266.914079,1521.598774,47.41293,52.30235,771.607346,248.164169,351.903729
4092,gshifthlogic_proof.lean,100.166499,799.213187,41.59498,205.488739,110.723559,9.47109,343.797769
1130,gicmphmul_proof.lean,579.679508,1625.573653,62.897139,73.91039,858.114026,233.212929,342.500969
2703,gselecthdivrem_proof.lean,134.63907,1449.368034,62.453549,38.67555,664.047207,262.223869,341.365619
2504,gandhxorhor_proof.lean,544.868598,2051.386832,111.245,8.52456,1262.920455,293.783179,335.486488
1201,gnot_proof.lean,94.86094,1853.720722,37.55507,1.43111,1157.602405,319.012659,330.383518
376,gsubhlshrhorhtohicmphselect_proof.lean,214.985289,804.965217,93.71358,84.51651,156.55687,8.0286,325.600618
1355,gudivremhchangehwidth_proof.lean,124.32228,835.012397,66.01755,78.9533,158.05416,57.275629,325.467789
2051,glshr_proof.lean,305.244969,1425.315954,46.69026,28.88189,708.114637,263.209409,324.434698
1350,gudivremhchangehwidth_proof.lean,354.746509,1681.728403,34.766559,12.77916,958.714716,315.754309,323.881139
4917,gicmphmulhand_proof.lean,312.37872,1399.973334,91.574459,108.63808,560.522068,8.37747,322.498049
2702,gselecthdivrem_proof.lean,134.623269,1387.836355,60.90755,38.44401,664.450737,244.075639,317.660279
2047,glshr_proof.lean,348.833249,1320.367334,93.858229,19.83877,606.523118,244.081499,315.329978
4260,gmodulo_proof.lean,159.85215,1333.974454,91.541269,60.62219,558.510257,234.04007,313.171338
4918,gicmphmulhand_proof.lean,117.541259,753.759577,52.36222,47.894819,206.388659,14.98082,308.081289
657,gashrhdemand_proof.lean,114.66495,1419.108215,50.82277,20.57049,757.991437,201.365679,295.350889
1205,g2007h03h21hSignedRangeTest_proof.lean,156.67296,851.200606,56.180459,37.43393,210.45639,66.075799,294.852469
3215,gsdivhicmp_proof.lean,284.179309,1145.115087,186.054719,13.86916,259.504089,217.73972,294.8079
4259,gmodulo_proof.lean,147.836609,1410.824985,80.72608,43.30658,658.571848,243.207459,294.761129
4261,gmodulo_proof.lean,148.02919,1543.371504,79.61911,41.13742,809.054466,244.386079,294.510379
5963,grem_proof.lean,172.84386,929.239487,56.62557,20.42847,365.735238,126.62948,293.815389
4920,gicmphmulhand_proof.lean,128.805499,732.033077,66.3065,65.090099,156.398669,10.06575,293.117749
4926,g2008h07h11hRemAnd_proof.lean,112.32787,689.153737,48.40501,28.52863,208.014769,15.77233,292.056758
2691,gselecthdivrem_proof.lean,129.713479,1312.134275,61.87332,38.79454,659.008048,193.493519,287.061719
2693,gselecthdivrem_proof.lean,130.82261,1321.946445,63.91254,29.95852,659.390308,205.054789,285.881099
3399,g2008h10h11hDivCompareFold_proof.lean,117.144419,815.439997,67.14319,43.80801,305.927758,33.91824,283.188419
4258,gmodulo_proof.lean,162.439139,1360.430155,92.5718,63.03827,608.388868,230.244139,281.188809
5960,grem_proof.lean,172.62955,1079.504555,56.495499,22.82658,516.674918,133.399319,280.670679
5957,grem_proof.lean,171.27679,903.402816,55.510789,20.73269,365.214039,123.083589,278.786139
4284,gshlhdemand_proof.lean,118.774059,1448.110434,56.06662,29.9105,809.087696,209.759309,276.571759
5966,grem_proof.lean,171.487779,899.560836,56.32568,20.32783,365.404059,122.938049,275.546769
5579,greassociatehnuw_proof.lean,102.42009,1533.803854,44.35249,0.0,958.100316,250.276899,275.358439
5930,grem_proof.lean,115.22938,1409.960775,47.90146,20.67953,809.979787,161.217059,272.695049
1404,gcomparehudiv_proof.lean,86.651209,939.785106,23.19574,14.05036,456.145428,137.03421,269.173277
2679,gshlhsub_proof.lean,99.27949,637.376927,42.62254,17.91977,105.50172,107.66036,269.091447
5410,gaddhmaskhneg_proof.lean,259.009739,1000.365807,90.24646,73.70189,364.224428,30.75326,268.841579
6605,gadd4_proof.lean,154.627469,774.447307,80.76724,82.999299,219.316159,27.2789,267.993709
5941,grem_proof.lean,99.774639,1187.205326,36.24095,18.15438,560.576328,185.155109,267.911719
5411,gaddhmaskhneg_proof.lean,359.372249,731.872507,97.210599,88.8945,157.530199,7.60415,266.807779
399,gtrunchinseltpoison_proof.lean,85.10439,812.441567,30.61621,7.72379,305.828698,166.03581,266.757459
2696,gselecthdivrem_proof.lean,151.077749,1202.436745,82.9573,58.79919,559.113278,157.984069,266.323029
5936,grem_proof.lean,102.271159,1223.219345,35.87527,27.6412,610.988067,191.548229,265.449969
4919,gicmphmulhand_proof.lean,107.88634,588.075607,50.454519,37.8658,106.270689,12.59827,263.489449
382,gtrunchinseltpoison_proof.lean,157.009129,1358.672965,39.13169,13.95374,759.222527,251.012499,262.120719
4130,gsignbithlshrhandhicmpeqhzero_proof.lean,151.12429,1479.589826,27.8905,145.5457,409.414898,128.24485,257.951879
115,g2005h04h07hUDivSelectCrash_proof.lean,77.50484,1764.403075,33.270599,18.66378,1167.613968,213.114949,256.875659
2054,glshr_proof.lean,150.220509,1279.036995,90.482949,13.33602,709.383217,171.98719,256.836699
4922,gicmphmulhand_proof.lean,121.81441,641.280198,56.50285,49.28645,156.223309,11.39101,255.819519
2690,gselecthdivrem_proof.lean,130.510439,1254.494455,64.63791,37.65895,657.098977,180.067789,255.229819
2694,gselecthdivrem_proof.lean,154.74365,1436.020765,85.53274,59.94011,808.672436,155.22383,255.004859
4113,gselect_meta_proof.lean,70.86164,598.168427,11.33049,22.50549,157.87839,57.823559,254.500329
2692,gselecthdivrem_proof.lean,130.05508,1262.279015,61.672289,29.23488,658.470097,189.29936,252.580549
2704,gselecthdivrem_proof.lean,118.33125,1158.691275,46.152109,28.51223,563.990928,200.095299,250.037349
6530,gbinophselect_proof.lean,81.40171,544.531937,23.417699,16.89515,156.22406,49.870889,249.959819
4923,gicmphmulhand_proof.lean,95.215539,817.023507,39.8911,41.69029,356.360119,21.82526,248.915119
4111,gselect_meta_proof.lean,85.00993,1114.811035,14.50698,49.479189,510.568618,65.422469,246.340769
3922,gadd_or_sub_proof.lean,85.73389,4946.727399,22.2602,48.324549,3767.644675,769.972697,245.936489
5572,greassociatehnuw_proof.lean,107.799629,883.838117,47.72758,132.982699,209.141929,65.87426,244.431359
2677,gshlhsub_proof.lean,95.62373,1186.148186,38.02854,17.475679,361.619718,367.98076,243.889539
5329,gapinthmul2_proof.lean,86.509909,882.032839,18.59979,199.13313,311.161699,14.98007,243.686708
1395,gcomparehudiv_proof.lean,211.475939,1436.177574,36.52436,22.638599,916.466876,158.646039,243.15096
1396,gcomparehudiv_proof.lean,151.76194,994.842477,36.66367,23.71,464.435228,148.65468,242.22506
5937,grem_proof.lean,103.54828,1278.891315,39.79497,18.05999,710.408687,190.06865,241.392039
6747,gfreehinversion_proof.lean,284.369718,1203.303395,24.46438,1.58961,708.395317,220.016019,238.078309
2701,gselecthdivrem_proof.lean,118.32821,1123.321755,45.707459,27.43436,564.382958,185.296529,237.908049
4921,gicmphmulhand_proof.lean,110.54654,774.141767,50.85536,44.80179,306.805879,9.69203,235.508639
3465,gdemorgan_proof.lean,548.276288,1678.906723,276.659829,41.88129,859.855966,183.431129,233.763329
6745,gfreehinversion_proof.lean,281.732849,1241.387395,24.56048,1.750299,757.022527,216.61235,232.755189
5631,gapinthdiv1_proof.lean,79.14565,1099.373305,20.64818,18.76037,607.206828,133.500119,230.563619
3468,gdemorgan_proof.lean,596.566807,1522.452424,273.717499,42.07608,709.881287,180.409359,230.423939
2486,gandhxorhor_proof.lean,84.2087,517.294178,28.3561,34.99861,114.874539,7.91941,228.86896
5637,gapinthrem1_proof.lean,81.344419,1409.997835,19.5653,23.41607,858.851936,157.60161,224.395989
5623,gaddhshlhsdivhtohsrem_proof.lean,125.351119,633.524708,81.93024,44.38274,155.946379,51.37265,220.748689
2049,glshr_proof.lean,252.104989,1024.060096,44.30777,10.40649,507.648737,214.8772,220.556969
6569,gxor_proof.lean,89.48103,649.454587,29.11277,37.17955,258.292379,4.05884,220.496919
6477,gtrunc_proof.lean,86.76295,750.069337,28.70347,7.36454,307.206879,156.66045,218.48373
2581,gandhxorhor_proof.lean,118.822029,526.397978,49.15536,44.13882,113.79439,3.76494,217.230319
5207,gzext_proof.lean,121.802,598.866617,57.106419,47.68173,106.346489,21.0143,216.577249
4122,gicmphdivhconstant_proof.lean,120.59579,765.698467,44.37747,21.91388,356.102218,40.97629,216.552059
5573,greassociatehnuw_proof.lean,113.156589,606.170868,52.43332,65.36709,159.10168,42.15269,212.59683
2080,glshr_proof.lean,104.611529,1000.859576,39.19367,18.32408,511.777287,156.45253,211.986849
3105,gaddnegneg_proof.lean,100.586739,900.444517,61.23737,0.0,406.360218,212.552049,210.995261
2485,gandhxorhor_proof.lean,84.53988,530.184388,27.04963,34.63079,156.04176,9.95325,210.785569
3078,gsubhofhnegatiblehinseltpoison_proof.lean,629.641338,818.152726,37.2987,0.0,356.123329,209.345389,210.160439
6567,gxor_proof.lean,86.40878,687.518897,39.156139,36.86804,307.735849,8.36559,208.938459
6564,gxor_proof.lean,84.30606,466.016038,26.5785,33.95367,106.94239,3.9303,208.237749
4981,gsubhofhnegatible_proof.lean,679.465447,787.571117,22.1435,0.0,355.582779,198.016319,207.799999
4402,gcanonicalizehshlhlshrhtohmasking_proof.lean,87.53805,641.569008,30.18281,5.42891,207.05773,166.334169,207.60441
6568,gxor_proof.lean,85.73935,485.298838,27.09329,35.10738,107.69718,4.02106,207.264209
4640,gonehot_merge_proof.lean,128.098499,891.143687,60.82595,15.79339,307.042319,171.489179,207.053279
1127,gicmphmul_proof.lean,182.56373,715.442117,68.88254,86.136789,256.098169,61.1995,204.088449
107,gicmphulthofhnothofhshlhalloneshbyhbitshandhvalhtohicmphnehofhlshrhvalhbyhbitshandh0_proof.lean,666.999278,438.871936,83.241089,0.0,121.022779,1.38497,204.081058
6566,gxor_proof.lean,86.80069,515.504618,28.526109,34.50295,156.668529,3.96704,203.467099
2695,gselecthdivrem_proof.lean,274.310799,597.936458,84.38472,60.3868,159.1355,0.0,203.396459
627,glshrhandhnegChicmpeqhzero_proof.lean,161.84525,693.594227,39.741559,24.31524,257.569169,91.391109,202.99126
2582,gandhxorhor_proof.lean,117.047069,499.006568,48.64392,44.42826,114.05247,4.05434,202.816239
2044,glshr_proof.lean,117.09108,986.865465,57.607309,12.97593,455.917188,200.012449,201.770529
1397,gcomparehudiv_proof.lean,141.85402,871.702356,43.856849,24.12394,458.638708,46.24174,201.359009
2580,gandhxorhor_proof.lean,116.87213,499.213588,48.77149,43.48634,114.14435,4.0149,200.729189
4280,gshlhdemand_proof.lean,111.31879,604.843097,44.28432,33.220299,159.972119,45.77918,200.410679
6565,gxor_proof.lean,84.47515,665.036567,26.86299,34.13529,307.278029,3.8085,199.468729
2353,gselecthbinophcmp_proof.lean,86.87865,1208.821225,35.96321,8.11963,757.765287,169.332479,198.322719
2352,gselecthbinophcmp_proof.lean,84.85676,1045.778786,24.38544,7.86398,606.180557,168.47929,198.119879
2539,gandhxorhor_proof.lean,116.2673,535.612708,47.24788,42.979879,163.300679,3.88175,194.54216
4634,gonehot_merge_proof.lean,127.978299,792.453487,60.96477,29.24347,356.755998,97.54936,194.014759
3416,gdistribute_proof.lean,82.13149,671.513667,22.96429,12.32847,207.40353,217.655579,193.376669
5627,gaddhshlhsdivhtohsrem_proof.lean,115.39464,492.667148,52.002639,18.3633,106.353259,35.37292,193.21504
4622,gonehot_merge_proof.lean,134.643369,675.881177,63.89353,17.87943,155.478619,197.726139,193.187029
5975,grem_proof.lean,123.66731,692.952427,44.958879,21.58193,317.769519,44.33106,192.745949
232,g2007h03h13hCompareMerge_proof.lean,1129.912855,1730.994696,616.648219,0.0,773.976088,24.66275,191.64541
2573,gandhxorhor_proof.lean,116.96888,476.334358,48.458569,44.32853,113.303709,4.04078,190.94479
2544,gandhxorhor_proof.lean,165.462399,480.484278,48.95393,41.60361,112.827679,3.86854,189.674309
683,gexact_proof.lean,181.4316,783.584207,109.72156,59.1983,309.115549,12.77938,189.122799
2561,gandhxorhor_proof.lean,114.826259,484.354308,47.1253,51.45475,113.495749,3.64156,188.992259
2534,gandhxorhor_proof.lean,164.54763,482.495828,47.238689,43.27973,113.092129,4.3323,188.49431
1405,gcomparehudiv_proof.lean,88.28114,694.534217,23.445359,14.30164,356.841099,68.900099,187.57228
214,gdivhshift_proof.lean,203.03638,718.994838,41.30983,7.99791,360.854709,89.279329,187.24797
2064,glshr_proof.lean,122.40727,831.326336,61.168679,13.01977,410.766719,115.025309,187.067599
687,gexact_proof.lean,140.652789,1178.682706,31.13058,13.35791,709.138577,187.411229,186.81595
6748,gfreehinversion_proof.lean,283.618969,1056.696686,24.76334,1.7789,608.891378,176.233349,186.545439
2563,gandhxorhor_proof.lean,114.649709,476.336518,47.02993,52.29761,113.07912,3.64647,186.127119
1128,gicmphmul_proof.lean,263.788429,1063.199546,50.21052,45.698669,607.251098,128.378359,185.92606
6746,gfreehinversion_proof.lean,283.723838,850.989597,25.05364,1.78745,458.179158,171.14816,185.674689
4283,gshlhdemand_proof.lean,119.70572,502.588018,55.675489,30.53525,108.52568,36.562919,184.92597
2572,gandhxorhor_proof.lean,166.22093,619.634587,47.902889,44.12269,263.753809,3.86792,184.614969
385,gtrunchinseltpoison_proof.lean,145.31571,1369.305086,34.87751,10.53323,915.403947,193.48072,183.40252
6563,gxor_proof.lean,84.58043,443.506208,26.813569,33.35533,107.07672,3.726899,183.29452
2593,gandhxorhor_proof.lean,167.454619,480.655478,48.282069,42.17541,113.754119,3.88527,182.70674
2587,gandhxorhor_proof.lean,116.448639,466.838228,48.6259,41.87461,113.70196,3.74866,182.479369
1129,gicmphmul_proof.lean,202.540459,768.879607,39.45611,26.91827,357.117188,132.25084,182.240399
4085,gshifthlogic_proof.lean,107.233809,599.951728,42.6698,31.54258,258.532889,9.61133,182.213688
3758,gapinthshift_proof.lean,85.98381,547.766138,23.29968,23.33028,205.979679,89.03042,181.89978
2052,glshr_proof.lean,127.464909,608.520868,68.43284,11.51793,207.584019,98.830129,181.71152
5626,gaddhshlhsdivhtohsrem_proof.lean,116.307589,486.040308,53.05277,18.49746,106.64427,28.34616,181.015009
2525,gandhxorhor_proof.lean,166.036019,669.382797,48.623289,44.3046,313.036449,4.11042,180.364599
176,gdivhshift_proof.lean,81.666519,543.551768,23.18822,11.73744,208.007939,74.52514,179.808139
2557,gandhxorhor_proof.lean,114.62604,466.876028,47.11433,42.019929,113.05682,3.64776,179.287489
185,gdivhshift_proof.lean,186.694419,696.332248,27.26995,7.77213,358.396619,91.745949,178.50957
2555,gandhxorhor_proof.lean,114.40072,462.333598,46.896179,42.73626,112.691169,4.14045,177.46979
2522,gandhxorhor_proof.lean,116.441449,464.840478,48.69251,44.83175,112.614029,4.26186,177.462229
2549,gandhxorhor_proof.lean,114.936839,456.183459,48.55577,41.90856,112.315309,3.96224,177.06847
3457,gdemorgan_proof.lean,196.287309,1351.306834,109.77754,8.51235,857.769077,160.242199,176.901879
2588,gandhxorhor_proof.lean,166.83011,470.223769,47.84368,32.99246,114.878599,3.81072,176.64162
6463,gtrunc_proof.lean,138.682839,881.772367,30.83544,8.41482,457.819698,186.603019,176.434379
2594,gandhxorhor_proof.lean,116.246269,447.426458,47.89953,32.81029,114.167559,3.65621,175.970719
2571,gandhxorhor_proof.lean,116.262969,482.065408,48.50742,43.93403,113.84051,3.99287,175.779709
4625,gonehot_merge_proof.lean,131.15781,545.130988,61.59185,30.40179,156.099129,61.38789,175.605149
2056,glshr_proof.lean,127.99972,673.351497,67.949409,11.24412,259.469979,105.56436,174.621288
656,gashrhdemand_proof.lean,120.30125,668.309228,50.37036,20.37919,257.790479,47.201579,174.58283
2510,gandhxorhor_proof.lean,165.387169,455.970868,48.61156,44.0929,112.2666,4.24444,174.427489
1406,gcomparehudiv_proof.lean,86.62746,540.114028,23.36234,13.74102,206.225159,81.97948,173.744908
2523,gandhxorhor_proof.lean,166.520739,456.119078,48.712269,44.52587,112.8518,4.10216,172.78951
2513,gandhxorhor_proof.lean,165.017159,460.275358,48.52902,44.12434,111.96049,4.24927,172.573239
2511,gandhxorhor_proof.lean,115.53084,453.653258,48.385159,43.96958,111.937849,4.17419,172.36848
5973,grem_proof.lean,126.81694,718.819177,45.37639,21.33439,368.507248,33.77844,170.701829
5949,grem_proof.lean,109.188039,938.446306,44.28082,8.7712,515.523698,165.092479,170.666339
4631,gonehot_merge_proof.lean,127.570909,644.621728,60.48719,16.34105,256.177879,103.274649,169.3924
